Origin,Destination,Distance
Mumbai,Pune,149
Mumbai,Ahmedabad,525
Pune,Mumbai,149
Pune,Ahmedabad,663
Pune,Hyderabad,561
Pune,Bengaluru,733
Ahmedabad,Mumbai,525
Ahmedabad,Pune,663
Ahmedabad,Jaipur,669
Ahmedabad,Udaipur,261
Hyderabad,Pune,561
Hyderabad,Bengaluru,569
Hyderabad,Chennai,627
Hyderabad,Goa,653
Bengaluru,Pune,733
Bengaluru,Hyderabad,569
Bengaluru,Chennai,345
Chennai,Hyderabad,627
Chennai,Bengaluru,345
Chennai,Kochi,694
Chennai,Bengaluru,699
Kochi,Chennai,694
Kochi,Bengaluru,699
Kochi,Goa,411
Kochi,Thiruvananthapuram,197
Goa,Hyderabad,653
Goa,Kochi,411
Goa,Mumbai,435
Goa,Pune,474
Jaipur,Ahmedabad,669
Jaipur,Udaipur,394
Jaipur,Delhi,269
Udaipur,Ahmedabad,261
Udaipur,Jaipur,394
Udaipur,Jaipur,263
Delhi,Jaipur,269
Delhi,Agra,233
Delhi,Lucknow,558
Agra,Delhi,233
Agra,Lucknow,333
Agra,Kanpur,269
Lucknow,Delhi,558
Lucknow,Agra,333
Lucknow,Kanpur,73
Kanpur,Agra,269
Kanpur,Lucknow,73
Kanpur,Varanasi,320
Varanasi,Kanpur,320
Varanasi,Patna,257
Varanasi,Kolkata,677
Patna,Varanasi,257
Patna,Kolkata,526
Kolkata,Varanasi,677
Kolkata,Patna,526
Kolkata,Bhubaneswar,442
Bhubaneswar,Kolkata,442
Bhubaneswar,Vishakhapatnam,442
Vishakhapatnam,Bhubaneswar,442
Vishakhapatnam,Hyderabad,626
Delhi,Chennai,1767
Mumbai,Delhi,1400
Mumbai,Hyderabad,711
Delhi,Bengaluru,1740
Kolkata,Chennai,1669
Mumbai,Bengaluru,984
Delhi,Mumbai,1400
Mumbai,Kolkata,1960
Chennai,Delhi,1767
Bengaluru,Delhi,1740
Chennai,Mumbai,1669
Chennai,Kolkata,1669
Hyderabad,Mumbai,711
Hyderabad,Delhi,1669
Hyderabad,Kolkata,1554
Kolkata,Delhi,1669
Bengaluru,Hyderabad,569
Delhi,Hyderabad,1669
Mumbai,Chennai,1669
Chennai,Hyderabad,627
Chennai,Bengaluru,345
Chennai,Kochi,694
Chennai,Bengaluru,699
Kochi,Chennai,694
Kochi,Bengaluru,699
Kochi,Goa,411
Kochi,Thiruvananthapuram,197
Goa,Hyderabad,653
Goa,Kochi,411
Goa,Mumbai,435
Goa,Pune,474
Jaipur,Ahmedabad,669
Jaipur,Udaipur,394
Jaipur,Delhi,269
Udaipur,Ahmedabad,261
Udaipur,Jaipur,394
Udaipur,Jaipur,263
Delhi,Jaipur,269
Delhi,Agra,233
Delhi,Lucknow,558
Agra,Delhi,233
Agra,Lucknow,333
Agra,Kanpur,269
Lucknow,Delhi,558
Lucknow,Agra,333
Lucknow,Kanpur,73
Kanpur,Agra,269
Kanpur,Lucknow,73
Kanpur,Varanasi,320
Varanasi,Kanpur,320
Varanasi,Patna,257
Varanasi,Kolkata,677
Patna,Varanasi,257
Patna,Kolkata,526
Kolkata,Varanasi,677
Kolkata,Patna,526
Kolkata,Bhubaneswar,442
Bhubaneswar,Kolkata,442
Bhubaneswar,Vishakhapatnam,442
Vishakhapatnam,Bhubaneswar,442
Vishakhapatnam,Hyderabad,626
